,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
1015,ASUS,AMD,Ryzen 3 Quad Core,8,LPDDR5,0.512,4.1,AMD Radeon AMD,0,40990
1016,MSI,Intel,Core i9,32,DDR5,2.0,5.6,NVIDIA GeForce RTX 4090,16,344990
1017,MSI,Intel,Core i7,16,DDR5,0.512,4.7,NVIDIA GeForce RTX 3050,6,85990
1018,MSI,Intel,Core i7,16,DDR5,1.0,5.0,NVIDIA GeForce RTX 4070,8,166490
1019,MSI,Intel,Core i5,16,DDR4,0.512,4.6,Intel Integrated Iris Xe,0,54990
1020,HP,Intel,Core i7,32,DDR4,1.0,5.0,Arc A370M A370M,4,184490
1021,Lenovo,Intel,Core i3,8,LPDDR5,0.512,4.5,Intel Integrated UHD,0,44990
1022,MSI,Intel,Core i7,16,LPDDR5,1.0,5.0,NVIDIA GeForce RTX 2050,4,119990
1023,MSI,Intel,Core i5,16,DDR4,0.256,4.4,NVIDIA GeForce RTX 2050,4,52990
1024,MSI,AMD,Ryzen 7 Octa Core,8,DDR,0.512,4.4,AMD Radeon RX6500M,4,57990
1025,Lenovo,Intel,Core i5,16,LPDDR5,0.512,4.7,Intel Integrated Iris Xe,0,71990
1026,MSI,Intel,Core i5,16,DDR4,0.512,4.5,NVIDIA GeForce RTX 3050 Ti,4,76990
1027,MSI,Intel,Core i7,16,DDR4,0.512,4.7,NVIDIA GeForce RTX 4060,8,94990
1028,MSI,Intel,Core i9,16,DDR5,1.0,5.4,NVIDIA GeForce RTX 4070,8,179990
1029,MSI,Intel,Core i9,64,DDR5,2.0,5.6,NVIDIA GeForce RTX 4080,12,436490
1030,HP,Intel,Core i7,16,LPDDR4X,1.0,4.7,Intel Integrated Iris Xe,0,114490
1031,HP,Intel,Core i5,16,DDR4,0.512,4.4,Intel Integrated Iris Xe,0,54990
1032,MSI,Intel,Core i7,16,DDR5,1.0,4.9,NVIDIA GeForce RTX 4050,6,107990
1033,MSI,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.5,AMD Radeon AMD,0,35990
1034,Acer,Intel,Core i7,16,DDR5,0.512,5.0,NVIDIA GeForce RTX 4050,6,104990
1035,ASUS,Intel,Core i3,16,DDR4,0.512,4.4,Intel Integrated UHD,0,40990
1036,MSI,Intel,Core i5,16,DDR4,0.512,4.6,Intel Integrated Iris Xe,0,53990
